PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,South Mountain,White (Main),2022-09-16 1629,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
jeremy,South Mountain,White (Main),2022-09-16 1629,77,23,5,4,5,4,5,4,4,3,4,4,4,4,3,5,6,4,5,4
marc,South Mountain,White (Main),2022-09-16 1629,68,14,3,3,4,4,5,3,3,3,4,3,4,4,4,4,6,3,5,3
isaac labong,South Mountain,White (Main),2022-09-16 1629,76,22,4,4,5,3,4,4,5,4,5,4,3,3,5,4,6,5,5,3
issac,South Mountain,White (Main),2022-09-16 1629,69,15,4,4,5,2,4,4,4,4,4,5,3,3,3,3,4,6,3,4
egg,South Mountain,White (Main),2022-09-16 1629,93,39,5,5,6,5,5,6,5,5,6,6,4,4,5,5,5,6,4,6
